Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
787,3,5.2641,3051.8933,96.1067,EpsilonGreedy
788,3,4.0009,3055.8942,96.1058,EpsilonGreedy
789,3,3.8843,3059.7785,96.2215,EpsilonGreedy
790,3,5.9859,3065.7644,94.2356,EpsilonGreedy
791,3,5.8783,3071.6426,92.3574,EpsilonGreedy
792,3,3.5096,3075.1522,92.8478,EpsilonGreedy
793,3,4.6596,3079.8118,92.1882,EpsilonGreedy
794,3,3.3127,3083.1245,92.8755,EpsilonGreedy
795,3,2.2793,3085.4038,94.5962,EpsilonGreedy
796,3,4.8214,3090.2252,93.7748,EpsilonGreedy
797,3,4.3855,3094.6107,93.3893,EpsilonGreedy
798,3,4.6679,3099.2786,92.7214,EpsilonGreedy
799,3,6.1880,3105.4666,90.5334,EpsilonGreedy
800,3,3.6355,3109.1022,90.8978,EpsilonGreedy
801,3,4.4193,3113.5215,90.4785,EpsilonGreedy
802,3,4.0750,3117.5965,90.4035,EpsilonGreedy
803,3,1.9784,3119.5750,92.4250,EpsilonGreedy
804,3,3.7089,3123.2839,92.7161,EpsilonGreedy
805,3,2.3089,3125.5928,94.4072,EpsilonGreedy
806,3,3.9592,3129.5520,94.4480,EpsilonGreedy
807,3,2.8326,3132.3846,95.6154,EpsilonGreedy
808,3,2.7503,3135.1350,96.8650,EpsilonGreedy
809,3,5.3417,3140.4766,95.5234,EpsilonGreedy
810,3,3.4750,3143.9516,96.0484,EpsilonGreedy
811,3,3.6053,3147.5569,96.4431,EpsilonGreedy
812,3,4.2274,3151.7843,96.2157,EpsilonGreedy
813,3,1.7354,3153.5197,98.4803,EpsilonGreedy
814,3,2.9651,3156.4847,99.5153,EpsilonGreedy
815,3,3.1222,3159.6070,100.3930,EpsilonGreedy
816,3,4.3092,3163.9162,100.0838,EpsilonGreedy
817,3,4.1256,3168.0418,99.9582,EpsilonGreedy
818,3,3.2519,3171.2937,100.7063,EpsilonGreedy
819,3,5.6775,3176.9712,99.0288,EpsilonGreedy
820,3,3.3470,3180.3182,99.6818,EpsilonGreedy
821,3,3.0850,3183.4032,100.5968,EpsilonGreedy
822,3,4.2771,3187.6804,100.3196,EpsilonGreedy
823,3,3.1621,3190.8424,101.1576,EpsilonGreedy
824,3,5.1373,3195.9797,100.0203,EpsilonGreedy
825,3,4.1921,3200.1718,99.8282,EpsilonGreedy
826,3,3.1632,3203.3350,100.6650,EpsilonGreedy
827,3,6.1763,3209.5113,98.4887,EpsilonGreedy
828,3,3.4700,3212.9814,99.0186,EpsilonGreedy
829,3,3.8344,3216.8158,99.1842,EpsilonGreedy
830,3,4.1895,3221.0053,98.9947,EpsilonGreedy
831,3,4.2138,3225.2191,98.7809,EpsilonGreedy
832,3,4.2767,3229.4958,98.5042,EpsilonGreedy
833,3,2.5564,3232.0522,99.9478,EpsilonGreedy
834,3,3.9311,3235.9832,100.0168,EpsilonGreedy
835,3,1.8471,3237.8303,102.1697,EpsilonGreedy
836,3,3.6128,3241.4432,102.5568,EpsilonGreedy
837,3,3.7448,3245.1880,102.8120,EpsilonGreedy
838,3,4.4071,3249.5951,102.4049,EpsilonGreedy
839,3,3.0690,3252.6641,103.3359,EpsilonGreedy
840,3,4.1456,3256.8097,103.1903,EpsilonGreedy
841,3,3.4261,3260.2358,103.7642,EpsilonGreedy
842,3,3.9416,3264.1774,103.8226,EpsilonGreedy
843,3,2.9419,3267.1193,104.8807,EpsilonGreedy
844,3,4.8440,3271.9633,104.0367,EpsilonGreedy
845,3,4.7831,3276.7464,103.2536,EpsilonGreedy
846,3,2.2684,3279.0148,104.9852,EpsilonGreedy
847,3,3.5903,3282.6051,105.3949,EpsilonGreedy
848,3,3.4849,3286.0899,105.9101,EpsilonGreedy
849,3,1.8648,3287.9548,108.0452,EpsilonGreedy
850,3,2.5807,3290.5355,109.4645,EpsilonGreedy
851,3,3.5871,3294.1226,109.8774,EpsilonGreedy
852,3,2.6290,3296.7516,111.2484,EpsilonGreedy
853,3,3.9881,3300.7397,111.2603,EpsilonGreedy
854,3,4.5642,3305.3039,110.6961,EpsilonGreedy
855,3,3.2084,3308.5124,111.4876,EpsilonGreedy
856,3,4.4498,3312.9622,111.0378,EpsilonGreedy
