Trial,Bandit,Reward,Cumulative_Reward,Cumulative_Regret,Algorithm
18978,3,6.8354,75781.5547,130.4453,ThompsonSampling
18979,3,4.1544,75785.7092,130.2908,ThompsonSampling
18980,3,3.3173,75789.0265,130.9735,ThompsonSampling
18981,3,5.2208,75794.2473,129.7527,ThompsonSampling
18982,3,4.1877,75798.4350,129.5650,ThompsonSampling
18983,3,4.2578,75802.6928,129.3072,ThompsonSampling
18984,3,3.4477,75806.1405,129.8595,ThompsonSampling
18985,3,4.9427,75811.0832,128.9168,ThompsonSampling
18986,3,2.8837,75813.9669,130.0331,ThompsonSampling
18987,3,4.1675,75818.1344,129.8656,ThompsonSampling
18988,3,3.7261,75821.8605,130.1395,ThompsonSampling
18989,3,4.2737,75826.1342,129.8658,ThompsonSampling
18990,3,4.8605,75830.9947,129.0053,ThompsonSampling
18991,3,3.5890,75834.5837,129.4163,ThompsonSampling
18992,3,3.5046,75838.0883,129.9117,ThompsonSampling
18993,3,3.0615,75841.1497,130.8503,ThompsonSampling
18994,3,5.3189,75846.4686,129.5314,ThompsonSampling
18995,3,3.6673,75850.1359,129.8641,ThompsonSampling
18996,3,3.7530,75853.8889,130.1111,ThompsonSampling
18997,3,4.0667,75857.9556,130.0444,ThompsonSampling
18998,3,2.8594,75860.8150,131.1850,ThompsonSampling
18999,3,4.5215,75865.3365,130.6635,ThompsonSampling
19000,3,4.2073,75869.5438,130.4562,ThompsonSampling
19001,3,4.3024,75873.8461,130.1539,ThompsonSampling
19002,3,4.4949,75878.3410,129.6590,ThompsonSampling
19003,3,4.2023,75882.5433,129.4567,ThompsonSampling
19004,3,3.3175,75885.8608,130.1392,ThompsonSampling
19005,3,2.4094,75888.2702,131.7298,ThompsonSampling
19006,3,4.5013,75892.7715,131.2285,ThompsonSampling
19007,3,4.0133,75896.7848,131.2152,ThompsonSampling
19008,3,2.8800,75899.6648,132.3352,ThompsonSampling
19009,3,4.5829,75904.2477,131.7523,ThompsonSampling
19010,3,2.9927,75907.2404,132.7596,ThompsonSampling
19011,3,5.8710,75913.1114,130.8886,ThompsonSampling
19012,3,3.0360,75916.1474,131.8526,ThompsonSampling
19013,3,4.3384,75920.4858,131.5142,ThompsonSampling
19014,3,4.2456,75924.7314,131.2686,ThompsonSampling
19015,3,5.4884,75930.2198,129.7802,ThompsonSampling
19016,3,4.3336,75934.5534,129.4466,ThompsonSampling
19017,3,5.2047,75939.7581,128.2419,ThompsonSampling
19018,3,5.9700,75945.7281,126.2719,ThompsonSampling
19019,3,4.5066,75950.2347,125.7653,ThompsonSampling
19020,3,2.8528,75953.0875,126.9125,ThompsonSampling
19021,3,4.7676,75957.8552,126.1448,ThompsonSampling
19022,3,5.1849,75963.0401,124.9599,ThompsonSampling
19023,3,4.8978,75967.9379,124.0621,ThompsonSampling
19024,3,3.8690,75971.8068,124.1932,ThompsonSampling
19025,3,4.3350,75976.1418,123.8582,ThompsonSampling
19026,3,6.5879,75982.7297,121.2703,ThompsonSampling
19027,3,1.5201,75984.2499,123.7501,ThompsonSampling
19028,3,4.9092,75989.1591,122.8409,ThompsonSampling
19029,3,5.3600,75994.5191,121.4809,ThompsonSampling
19030,3,4.5052,75999.0243,120.9757,ThompsonSampling
19031,3,4.9415,76003.9658,120.0342,ThompsonSampling
19032,3,3.3889,76007.3547,120.6453,ThompsonSampling
19033,3,5.0014,76012.3562,119.6438,ThompsonSampling
19034,3,4.3975,76016.7537,119.2463,ThompsonSampling
19035,3,3.1678,76019.9215,120.0785,ThompsonSampling
19036,3,5.3229,76025.2444,118.7556,ThompsonSampling
19037,3,4.3501,76029.5945,118.4055,ThompsonSampling
19038,3,3.4405,76033.0350,118.9650,ThompsonSampling
19039,3,5.6037,76038.6387,117.3613,ThompsonSampling
19040,3,2.1775,76040.8162,119.1838,ThompsonSampling
19041,3,2.6467,76043.4629,120.5371,ThompsonSampling
19042,3,2.6329,76046.0959,121.9041,ThompsonSampling
19043,3,5.4948,76051.5907,120.4093,ThompsonSampling
19044,3,5.5289,76057.1196,118.8804,ThompsonSampling
